,year,region,driving_license,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured
0,1993,Al-Baha,3270,,,
1,1993,Al-Jouf,2884,,,
2,1993,Asir,6226,,,
3,1993,Eastern Region,9964,,,
4,1993,Hail,10484,,,
5,1993,Jazan,6009,,,
6,1993,Madinah,4122,,,
7,1993,Makkah,65977,,,
8,1993,Najran,3769,,,
9,1993,Northern Boarder,1510,,,
10,1993,Qassim,73618,,,
11,1993,Riyadh,103886,,,
12,1993,Tabouk,3174,,,
13,1994,Al-Baha,2729,,,
14,1994,Al-Jouf,2535,,,
15,1994,Asir,5185,,,
16,1994,Eastern Region,10918,,,
17,1994,Hail,11131,,,
18,1994,Jazan,3826,,,
19,1994,Madinah,3767,,,
20,1994,Makkah,75349,,,
21,1994,Najran,3880,,,
22,1994,Northern Boarder,1457,,,
23,1994,Qassim,68916,,,
24,1994,Riyadh,110545,,,
25,1994,Tabouk,3282,,,
26,1995,Al-Baha,2423,,,
27,1995,Al-Jouf,2270,,,
28,1995,Asir,4889,,,
29,1995,Eastern Region,7831,,,
30,1995,Hail,9735,,,
31,1995,Jazan,2284,,,
32,1995,Madinah,4155,,,
33,1995,Makkah,60356,,,
34,1995,Najran,3268,,,
35,1995,Northern Boarder,1318,,,
36,1995,Qassim,49690,,,
37,1995,Riyadh,101608,,,
38,1995,Tabouk,2051,,,
39,1996,Al-Baha,1468,,,
40,1996,Al-Jouf,2518,,,
41,1996,Asir,3319,,,
42,1996,Eastern Region,8461,,,
43,1996,Hail,10267,,,
44,1996,Jazan,2226,,,
45,1996,Madinah,3425,,,
46,1996,Makkah,46195,,,
47,1996,Najran,3274,,,
48,1996,Northern Boarder,1383,,,
49,1996,Qassim,42693,,,
50,1996,Riyadh,110131,,,
51,1996,Tabouk,2263,,,
52,1997,Al-Baha,3027,,,
53,1997,Al-Jouf,3565,,,
54,1997,Asir,12204,,,
55,1997,Eastern Region,58814,,,
56,1997,Hail,6606,,,
57,1997,Jazan,5695,,,
58,1997,Madinah,10495,,,
59,1997,Makkah,76623,,,
60,1997,Najran,3073,,,
61,1997,Northern Boarder,1531,,,
62,1997,Qassim,10092,,,
63,1997,Riyadh,92145,,,
64,1997,Tabouk,5426,,,
65,1998,Al-Baha,5110,,,
66,1998,Al-Jouf,3476,,,
67,1998,Asir,13220,,,
68,1998,Eastern Region,70650,,,
69,1998,Hail,4708,,,
70,1998,Jazan,2613,,,
71,1998,Madinah,13020,,,
72,1998,Makkah,86082,,,
73,1998,Najran,4322,,,
74,1998,Northern Boarder,2014,,,
75,1998,Qassim,11350,,,
76,1998,Riyadh,114962,,,
77,1998,Tabouk,6823,,,
78,1999,Al-Baha,4246,,,
79,1999,Al-Jouf,3950,,,
80,1999,Asir,14625,,,
81,1999,Eastern Region,64973,,,
82,1999,Hail,3139,,,
83,1999,Jazan,4792,,,
84,1999,Madinah,11108,,,
85,1999,Makkah,103535,,,
86,1999,Najran,3959,,,
87,1999,Northern Boarder,2311,,,
88,1999,Qassim,9983,,,
89,1999,Riyadh,100291,,,
90,1999,Tabouk,5298,,,
91,2000,Al-Baha,4832,,,
92,2000,Al-Jouf,4666,,,
93,2000,Asir,18622,,,
94,2000,Eastern Region,65767,,,
95,2000,Hail,3215,,,
96,2000,Jazan,5678,,,
97,2000,Madinah,9562,,,
98,2000,Makkah,87053,,,
99,2000,Najran,4905,,,
100,2000,Northern Boarder,2894,,,
101,2000,Qassim,12226,,,
102,2000,Riyadh,45345,,,
103,2000,Tabouk,8473,,,
104,2001,Al-Baha,7594,,,
105,2001,Al-Jouf,4756,,,
106,2001,Asir,20321,,,
107,2001,Eastern Region,74119,,,
108,2001,Hail,6077,,,
109,2001,Jazan,10631,,,
110,2001,Madinah,13561,,,
111,2001,Makkah,85593,,,
112,2001,Najran,4950,,,
113,2001,Northern Boarder,2971,,,
114,2001,Qassim,14718,,,
115,2001,Riyadh,13090,,,
116,2001,Tabouk,6344,,,
117,2002,Al-Baha,3335,,,
118,2002,Al-Jouf,5940,,,
119,2002,Asir,20417,,,
120,2002,Eastern Region,85035,,,
121,2002,Hail,5070,,,
122,2002,Jazan,5254,,,
123,2002,Madinah,10494,,,
124,2002,Makkah,88593,,,
125,2002,Najran,5117,,,
126,2002,Northern Boarder,2268,,,
127,2002,Qassim,16298,,,
128,2002,Riyadh,25423,,,
129,2002,Tabouk,8794,,,
130,2003,Al-Baha,3616,,,
